    INFO: 2024-02-22 17:11:19,087:               log.py:   20: Logging to C:\Users\Arjun Sarao\makeCV\mdpdf.log
   DEBUG: 2024-02-22 17:11:19,088:               cli.py:  103: cover_letter.md
    INFO: 2024-02-22 17:11:19,088:         converter.py:   14: cover_letter.md
   DEBUG: 2024-02-22 17:11:19,091:      pdf_renderer.py:  470: printSegment: ARM-LEG-Simulator Cover Letter
   DEBUG: 2024-02-22 17:11:19,101:      pdf_renderer.py:  470: printSegment: ARM-LEG-Simulator is an open-source software project hosted on GitHub. It is a Pseudo-ARM Assembly
   DEBUG: 2024-02-22 17:11:19,104:      pdf_renderer.py:  470: printSegment: Simulator written in Python, providing a platform for coders to test and debug their ARM Assembly code in a
   DEBUG: 2024-02-22 17:11:19,104:      pdf_renderer.py:  470: printSegment: simulated environment.
   DEBUG: 2024-02-22 17:11:19,108:      pdf_renderer.py:  470: printSegment: As an experienced Full-Stack Web Developer and AI Solution Specialist, I believe I can bring valuable
   DEBUG: 2024-02-22 17:11:19,109:      pdf_renderer.py:  470: printSegment: contributions to the ARM-LEG-Simulator project. One of the key projects I
   DEBUG: 2024-02-22 17:11:19,109:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-02-22 17:11:19,120:      pdf_renderer.py:  470: printSegment: ve worked on is the ARM-LEG
   DEBUG: 2024-02-22 17:11:19,127:      pdf_renderer.py:  470: printSegment: Simulator project itself, where I wrote a Command Line Interface (CLI) program following modular design Python
   DEBUG: 2024-02-22 17:11:19,128:      pdf_renderer.py:  470: printSegment: best practices and Object-Oriented Design principles. This experience has given me a deep understanding of the
   DEBUG: 2024-02-22 17:11:19,128:      pdf_renderer.py:  470: printSegment: project
   DEBUG: 2024-02-22 17:11:19,128:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-02-22 17:11:19,129:      pdf_renderer.py:  470: printSegment: s codebase, making me well-suited to contribute in a significant way.
   DEBUG: 2024-02-22 17:11:19,129:      pdf_renderer.py:  470: printSegment: Moreover, I
   DEBUG: 2024-02-22 17:11:19,130:      pdf_renderer.py:  470: printSegment: '
   DEBUG: 2024-02-22 17:11:19,130:      pdf_renderer.py:  470: printSegment: ve integrated a test-suite using 
   DEBUG: 2024-02-22 17:11:19,131:      pdf_renderer.py:  470: printSegment: pytest
   DEBUG: 2024-02-22 17:11:19,132:      pdf_renderer.py:  470: printSegment:  and linting using 
   DEBUG: 2024-02-22 17:11:19,133:      pdf_renderer.py:  470: printSegment: ruff
   DEBUG: 2024-02-22 17:11:19,145:      pdf_renderer.py:  470: printSegment:  into GitHub Actions for this project,
   DEBUG: 2024-02-22 17:11:19,154:      pdf_renderer.py:  470: printSegment: showcasing my proficiency in using these tools. My other professional experiences, such as developing a
   DEBUG: 2024-02-22 17:11:19,156:      pdf_renderer.py:  470: printSegment: Generative-AI-assisted RFP evaluation platform at City of Hamilton ITS and a multi-page static website for Starai
   DEBUG: 2024-02-22 17:11:19,156:      pdf_renderer.py:  470: printSegment: Tutoring using JavaScript (
   DEBUG: 2024-02-22 17:11:19,157:      pdf_renderer.py:  470: printSegment: React.js
   DEBUG: 2024-02-22 17:11:19,157:      pdf_renderer.py:  470: printSegment: ) and 
   DEBUG: 2024-02-22 17:11:19,157:      pdf_renderer.py:  470: printSegment: Bulma.css
   DEBUG: 2024-02-22 17:11:19,158:      pdf_renderer.py:  470: printSegment: , have equipped me with a broad skillset in software
   DEBUG: 2024-02-22 17:11:19,158:      pdf_renderer.py:  470: printSegment: development.
